hospital_pk,hospital_name,placekey
aab2bb3ab769da90baf57242c96ec481afb5ec6a2337848975e2451909a544a5,Crescent City Surgical Centre,
36db6bad3679dfdcccc301fc608438109ad907943c702fb3d57dc50cb7b5ba0b,CDT Susana Centeno,
976b4ce7c95e1cd394112ce7762ed040f18a141e56a52ef9d3e5775ed9e98e1e,Hospital Industrial C.F.S.E,2bm@96z-zb2-bx5
ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4,Alexandria Emergency Hospital,22b@8dx-9df-td9
f70d7abf93c78280583ac18e896e6737cca8212b017513ffdcf3f4de52d49be4,Elite Medical Center,zzw-222@5yv-j89-w6k
ff9032c172057190bf52f523d253c79af2d5f74d007084e83bb0995c637403d1,HealthproMed,
452193,El Paso LTAC Hospital,
3b081d5ef1c552538e4af4aa593a857bb922a4f364a412e69f912f826ae12879,Surgery Center of Zachary,
df2363988746840134806aa7b2accf9c89259601776986d49f0c579f6d84532e,Hospital San Antonio,
9922a3f069ff4686fe467885206fb1172f609233cfe517f5de214545d2458253,Centro Medico Correccional de Bayamon,
010108,PRATTVILLE BAPTIST HOSPITAL,222-222@8gm-zc8-s5z
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,zzw-222@8f3-jcc-2p9
010100,THOMAS HOSPITAL,zzw-222@8f3-p2v-6zf
010129,NORTH BALDWIN INFIRMARY,224-222@8f3-kjj-sh5
010069,MEDICAL CENTER BARBOUR,222-222@8gn-pn9-mzf
010058,BIBB MEDICAL CENTER,zzw-227@8gn-8mh-bp9
011305,ST VINCENTS BLOUNT,zzw-222@8gm-rp7-87q
010110,BULLOCK COUNTY HOSPITAL,zzw-222@8gn-m99-tjv
010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,222@8gn-4dn-rx5
010038,STRINGFELLOW MEMORIAL HOSPITAL,zzw-222@8gm-v8k-yy9
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,222-222@8gm-v8m-v4v
012011,"NOLAND HOSPITAL ANNISTON II, LLC",222@8gm-v8m-v4v
010022,FLOYD CHEROKEE MEDICAL CENTER,222-222@8gm-pmm-45f
010173,ST VINCENT'S CHILTON,222-222@8gk-xkn-fvf
011304,CHOCTAW GENERAL HOSPITAL,22w@8f4-btp-x3q
010091,GROVE HILL MEMORIAL HOSPITAL,zzw-223@8f4-9yb-ndv
010174,THOMASVILLE REGIONAL MEDICAL CENTER,22f@8f4-9gv-4d9
010128,JACKSON MEDICAL CENTER,zzw-222@8f4-9sv-4sq
010073,CLAY COUNTY HOSPITAL,236@8gk-vk3-t5f
010049,MEDICAL CENTER ENTERPRISE,zzw-222@8gh-tq5-vvf
010019,HELEN KELLER MEMORIAL HOSPITAL,zzw-223@5pn-6r3-whq
010157,SHOALS HOSPITAL,222-226@5pn-6qs-jsq
010148,EVERGREEN MEDICAL CENTER,222-222@8f4-2p6-mtv
010007,MIZELL MEMORIAL HOSPITAL,223-224@8gh-zhj-st9
010036,ANDALUSIA HEALTH,222-223@8gj-26q-8jv
010008,CRENSHAW COMMUNITY HOSPITAL,223-222@8gn-4m5-zj9
010035,CULLMAN REGIONAL MEDICAL CENTER,zzy-222@8gm-t4s-kcq
010021,DALE MEDICAL CENTER,222-223@8gh-y48-ct9
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,222-224@8gm-y2q-2rk
010012,DEKALB REGIONAL MEDICAL CENTER,zzy-222@8gm-rbf-249
010034,COMMUNITY HOSPITAL INC,zzw-222@8gn-n8d-bc5
010097,ELMORE COMMUNITY HOSPITAL,222-223@8gk-zng-vzz
010169,ATMORE COMMUNITY HOSPITAL,zzw-222@8f4-6cs-2c5
010099,D W MCMILLAN MEMORIAL HOSPITAL,222-223@8f3-zky-mzf
010040,GADSDEN REGIONAL MEDICAL CENTER,zzw-222@8gm-nft-ygk
010046,RIVERVIEW REGIONAL MEDICAL CENTER,222-224@8gm-nfs-cqz
